CONTOUR_0 16
M 145 297 
D 156 307 
D 167 314 
D 181 319 
D 194 321 
D 212 320 
D 225 316 
D 238 309 
D 212 320 
D 194 321 
D 186 320 
D 174 317 
D 159 310 
D 145 298 
D 136 285 
D 145 297 
CONTOUR_1 23
M 288 262 
D 285 275 
D 279 292 
D 274 302 
D 266 314 
D 257 323 
D 238 336 
D 211 346 
D 184 347 
D 171 343 
D 159 330 
D 155 321 
D 159 329 
D 172 343 
D 184 347 
D 224 342 
D 237 336 
D 256 323 
D 274 301 
D 280 289 
D 285 275 
D 290 247 
D 288 262 
CONTOUR_2 6
M 287 248 
D 283 253 
D 282 252 
D 288 245 
D 289 239 
D 287 248 
CONTOUR_3 19
M 159 238 
D 160 241 
D 176 241 
D 188 238 
D 194 241 
D 199 238 
D 195 241 
D 191 241 
D 189 243 
D 184 241 
D 189 243 
D 185 238 
D 169 242 
D 159 241 
D 158 239 
D 154 241 
D 158 238 
D 175 236 
D 159 238 
CONTOUR_4 10
M 326 232 
D 336 235 
D 341 239 
D 355 243 
D 365 249 
D 352 242 
D 338 238 
D 319 228 
D 316 228 
D 326 232 
CONTOUR_5 5
M 187 228 
D 181 233 
D 175 234 
D 188 227 
D 187 228 
CONTOUR_6 17
M 184 218 
D 183 219 
D 178 218 
D 170 222 
D 157 222 
D 141 229 
D 134 228 
D 136 226 
D 134 221 
D 136 226 
D 135 229 
D 140 229 
D 144 228 
D 157 222 
D 170 222 
D 177 218 
D 184 218 
CONTOUR_7 17
M 293 241 
D 293 252 
D 290 268 
D 283 291 
D 270 325 
D 258 344 
D 246 359 
D 240 364 
D 258 343 
D 270 324 
D 275 314 
D 288 276 
D 293 252 
D 293 241 
D 287 223 
D 287 217 
D 293 241 
CONTOUR_8 18
M 299 222 
D 311 226 
D 320 235 
D 330 240 
D 344 246 
D 365 253 
D 355 249 
D 338 244 
D 319 235 
D 313 228 
D 303 222 
D 300 225 
D 304 229 
D 306 228 
D 303 229 
D 297 221 
D 289 216 
D 299 222 
CONTOUR_9 39
M 97 232 
D 102 246 
D 105 248 
D 114 263 
D 133 282 
D 150 314 
D 154 328 
D 166 350 
D 177 364 
D 176 365 
D 166 351 
D 158 336 
D 151 321 
D 150 315 
D 135 290 
D 133 283 
D 117 268 
D 102 246 
D 83 255 
D 66 258 
D 48 268 
D 23 273 
D 8 281 
D 2 290 
D 0 291 
D 7 281 
D 23 273 
